Age,Gender,Education,RaceEdu,County,Region,Party,Party_Detailed,Vote2024_Bucket,"Q1: The following survey seeks your opinion on political topics and is presented here on behalf of a third-party researcher. Any partisan views expressed should be attributed to the researcher, and not to the survey platform.",Q1_Registration,Q3: Which of the following election years did you vote in at least once?_2024 - Presidential Election,Q3: Which of the following election years did you vote in at least once?_2022 - Midterm Elections,Q3: Which of the following election years did you vote in at least once?_2020 - Presidential Election,Q3: Which of the following election years did you vote in at least once?_2018 - Midterm Elections,Q3: Which of the following election years did you vote in at least once?_2016 - Presidential Election,Q3: Which of the following election years did you vote in at least once?_2014 - Midterm Elections,Q3: Which of the following election years did you vote in at least once?_I voted in an election that occurred before the options above,Q3: Which of the following election years did you vote in at least once?_I did not vote in any of these elections / wasn't eligible to vote ,Q3_Motivation,Q4_PlanCertainty,Q5_OthersVoting,Q6_TopIssue,Q7_PoliticalOutlook,Q8_PrimaryParty,Q9_GOPGovPrimary,Q10_DEMGovPrimary,Q11_GovGeneral_R,Q12_GovGeneral_D,Q13_Recall2024,Q14_TrumpApprove,"Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Economy, Jobs & Cost of Living","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Immigration & Border Security","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Crime, Public Safety & Policing","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Foreign Policy & National Security","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Healthcare, Social Security & Medicare","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Education, Housing & Family Issues","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Energy, Climate & the Environment","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Guns & Second Amendment Rights","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Civil Rights, Personal Freedoms & Social Issues","Q15: Based on President Trump's position as President, rate his approval rating on his handling of each of these issues. Political Corruption, Lobbying & Money in Politics",Q16_DeSantisApprove,"Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Economy, Jobs & Cost of Living","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Immigration & Border Security","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Crime, Public Safety & Policing","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Foreign Policy & National Security","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Healthcare, Social Security & Medicare","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Education, Housing & Family Issues","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Energy, Climate & the Environment","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Guns & Second Amendment Rights","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Civil Rights, Personal Freedoms & Social Issues","Q17: Based on Ron DeSantis' position as Governor, rate his approval rating on his handling of each of these issues. Political Corruption, Lobbying & Money in Politics",Q18: Please rate the following policies in terms of your approval of them: Eliminate property taxes on homestead properties,Q18: Please rate the following policies in terms of your approval of them: Ban large investment firms from buying single-family homes,Q18: Please rate the following policies in terms of your approval of them: Increase competition in the insurance market,Q18: Please rate the following policies in terms of your approval of them: Remove homeless encampments using state resources,Q18: Please rate the following policies in terms of your approval of them: End H-1B visas and remove foreign workers from state government jobs,Q18: Please rate the following policies in terms of your approval of them: Raise tuition for foreign students at public universities,Q18: Please rate the following policies in terms of your approval of them: Oppose construction of AI data centers in Florida,Q18: Please rate the following policies in terms of your approval of them: Impose a 50% “sin tax” on OnlyFans creators,Q18: Please rate the following policies in terms of your approval of them: Mandate school uniforms in all public schools,Q18: Please rate the following policies in terms of your approval of them: Divest Florida government funds from Israeli bonds,Q18: Please rate the following policies in terms of your approval of them: Paid maternity leave for every mother in Florida,Q18: Please rate the following policies in terms of your approval of them: Public execution for individuals found guilty of crimes linked to the Epstein Files,Q18: Please rate the following policies in terms of your approval of them: Allow parents who withdraw their child from a public school to receive a state-funded education stipend that can be used for private school tuition or other approved educational expenses.,Q18: Please rate the following policies in terms of your approval of them: Raise taxes on out-of-state visitors or residents to offset costs for Floridians,Q18: Please rate the following policies in terms of your approval of them: Banning Palantir from government contracts in Florida,Q19_EpsteinApprove,Q20_DonaldsApprove,Q21_FishbackApprove,Q22_MyronGainesApprove,Q23_NickFuentesApprove,Q24_NewsSource,Q26_IsraelPACEffect
30-44,Female,Postgraduate degree,Hispanic (Any Race),"Polk, FL (12105)",Central Florida,Democrat,"Working-Class / Union Democrat (Unions, wages, worker protections)",Harris,,Yes,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Extremely motivated,"Yes, I know both how and where",All or nearly all,"Civil Rights, Personal Freedoms & Social Issues","Working-Class / Union Democrat (Unions, wages, worker protections)",Florida Democratic Party,,Dayna Marie Foster,"David Jolly, the Democrat","David Jolly, the Democrat","Kamala Harris, the Democrat",Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,NBC News,Much more likely
65+,Male,Some college/Associate's degree,Asian / Other,"Broward, FL (12011)",South Florida,Independent,None of these / No clear political preference,Harris,,Yes,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Extremely motivated,"Yes, I know both how and where",All or nearly all,"Economy, Jobs & Cost of Living",None of these / No clear political preference,Florida Democratic Party,,Not sure / undecided,"David Jolly, the Democrat","David Jolly, the Democrat","Kamala Harris, the Democrat",Strongly disapprove,Strongly disapprove,Somewhat disapprove,Neutral / no opinion,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Neutral / no opinion,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Neutral / no opinion,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Somewhat disapprove,Neutral / no opinion,Neutral / no opinion,Strongly approve,Neutral / no opinion,Somewhat approve,Neutral / no opinion,Somewhat approve,Somewhat approve,Somewhat disapprove,Neutral / no opinion,Somewhat approve,Strongly disapprove,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Local TV news,No difference / no opinion
65+,Male,Bachelor’s degree,"White, College (Non-hispanic)","Hillsborough, FL (12057)",Tampa Bay / Southwest,Republican,"Libertarian-Oriented Republican (Small government, low taxes, personal freedom)",Harris,,Yes,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Very motivated,"Yes, I know both how and where",About half,"Economy, Jobs & Cost of Living","Libertarian-Oriented Republican (Small government, low taxes, personal freedom)",Neither,,,Not sure / undecided,Not sure / undecided,"Kamala Harris, the Democrat",Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Neutral / no opinion,Somewhat approve,Somewhat disapprove,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Strongly approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Neutral / no opinion,Strongly disapprove,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,ABC News,Much less likely
30-44,Male,Bachelor’s degree,"White, College (Non-hispanic)","Duval, FL (12031)",North Florida / First Coast,Republican,"Libertarian-Oriented Republican (Small government, low taxes, personal freedom)",Trump,,Yes,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Extremely motivated,"Yes, I know both how and where",Most,"Economy, Jobs & Cost of Living","Libertarian-Oriented Republican (Small government, low taxes, personal freedom)",Florida Democratic Party,,David Jolly,"Byron Donalds, the Republican",A third-party / independent candidate,"Donald Trump, the Republican",Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Neutral / no opinion,Neutral / no opinion,Somewhat approve,Somewhat approve,Somewhat approve,Neutral / no opinion,Somewhat approve,Neutral / no opinion,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Neutral / no opinion,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Neutral / no opinion,Somewhat approve,Neutral / no opinion,Strongly approve,Neutral / no opinion,Strongly disapprove,Neutral / no opinion,Somewhat disapprove,Strongly approve,Strongly approve,Neutral / no opinion,Somewhat approve,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,CNN,No difference / no opinion
65+,Male,Postgraduate degree,"White, College (Non-hispanic)","Marion, FL (12083)",North Central Florida,Independent,"Anti-Establishment Independent (Distrusts both parties, outsider-focused)",Trump,,Yes,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Very motivated,"Yes, I know both how and where",Most,"Economy, Jobs & Cost of Living","Anti-Establishment Independent (Distrusts both parties, outsider-focused)",Neither,,,"Byron Donalds, the Republican",Not sure / undecided,"Donald Trump, the Republican",Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Neutral / no opinion,Somewhat disapprove,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Somewhat approve,Neutral / no opinion,Strongly disapprove,Somewhat disapprove,Strongly approve,Neutral / no opinion,Neutral / no opinion,Strongly disapprove,Wall Street Journal,No difference / no opinion
65+,Female,Postgraduate degree,"White, College (Non-hispanic)","Sarasota, FL (12115)",Tampa Bay / Southwest,Democrat,"Mainline / Institutional Democrat (Mainstream Democratic policies, steady governance)",Harris,,Yes,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Extremely motivated,"Yes, I know both how and where",Most,"Economy, Jobs & Cost of Living","Mainline / Institutional Democrat (Mainstream Democratic policies, steady governance)",Florida Democratic Party,,Not sure / undecided,"David Jolly, the Democrat","David Jolly, the Democrat","Kamala Harris, the Democrat",Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Strongly approve,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Strongly disapprove,NBC News,Somewhat less likely
30-44,Male,Some college/Associate's degree,Hispanic (Any Race),"Gadsden, FL (12039)",Florida Panhandle,Democrat,"Lean Democratic Independent (Independent, usually votes Democratic)",Harris,,Yes,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Extremely motivated,"Yes, I know both how and where",Most,"Economy, Jobs & Cost of Living","Lean Democratic Independent (Independent, usually votes Democratic)",Florida Democratic Party,,Dayna Marie Foster,"David Jolly, the Democrat","David Jolly, the Democrat","Kamala Harris, the Democrat",Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly approve,CNN,Much more likely
45-64,Female,Postgraduate degree,Black/African American,"Hillsborough, FL (12057)",Tampa Bay / Southwest,Democrat,"Coalition / Civil Rights Democrat (Civil rights, education, community investment)",Harris,,Yes,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Extremely motivated,"Not yet, but I plan to figure it out",A few,"Civil Rights, Personal Freedoms & Social Issues","Coalition / Civil Rights Democrat (Civil rights, education, community investment)",Florida Democratic Party,,Not sure / undecided,"David Jolly, the Democrat","David Jolly, the Democrat","Kamala Harris, the Democrat",Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Neutral / no opinion,Neutral / no opinion,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Neutral / no opinion,Strongly approve,Neutral / no opinion,Somewhat approve,Neutral / no opinion,Neutral / no opinion,Strongly disapprove,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,CNN,No difference / no opinion
65+,Male,High school or less,"White, Non College (Non-hispanic)","Highlands, FL (12055)",Southeast / Treasure Coast,Republican,"America First Republican (Borders, national sovereignty, trade, anti-establishment)",,,Yes,Not Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Extremely motivated,"Not yet, but I plan to figure it out",About half,"Economy, Jobs & Cost of Living","America First Republican (Borders, national sovereignty, trade, anti-establishment)",Republican Party Of Florida,Not sure / undecided,,"Byron Donalds, the Republican","James Fishback, the Republican",,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Neutral / no opinion,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Neutral / no opinion,Strongly disapprove,Neutral / no opinion,Somewhat disapprove,Neutral / no opinion,Somewhat disapprove,Neutral / no opinion,Neutral / no opinion,Somewhat disapprove,Neutral / no opinion,Strongly approve,Strongly approve,Neutral / no opinion,Neutral / no opinion,Strongly disapprove,Strongly disapprove,Neutral / no opinion,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,Neutral / no opinion,NBC News,Much less likely
65+,Male,Bachelor’s degree,"White, College (Non-hispanic)","Levy, FL (12075)",North Central Florida,Republican,"Lean Republican Independent (Independent, usually votes Republican)",Harris,,Yes,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Extremely motivated,"Yes, I know both how and where",All or nearly all,"Civil Rights, Personal Freedoms & Social Issues","Lean Republican Independent (Independent, usually votes Republican)",Neither,,,"David Jolly, the Democrat","David Jolly, the Democrat","Kamala Harris, the Democrat",Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly approve,Strongly disapprove,Strongly approve,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Facebook,No difference / no opinion
